"id","category","self_mean","peer_mean","peer_low","peer_high","obs_mean","obs_low","obs_high","obs_p_one_sided","std_mean","std_low","std_high","std_p_one_sided","cp_raise_mean","cp_raise_low","cp_raise_high","sp_cp_support_mean","sp_cp_support_low","sp_cp_support_high","ct_cp_support_mean","ct_cp_support_low","ct_cp_support_high","spctp_cp_support_mean","spctp_cp_support_low","spctp_cp_support_high"
"ABA28","Information Treatment",0.2,0.225,0.127820098099796,0.322179901900204,0.230130650106251,0.0214911398501784,0.438770160362324,0.0156490068565418,0.123720515599828,-0.0849333300341243,0.33237436123378,0.122974832000465,0.094902504866269,-0.11374317872595,0.303548188458488,0.109991647327381,-0.0986522890195977,0.31863558367436,0.186144438488687,-0.0224915565475773,0.394780433524951,0.140418171142805,-0.0682155113594117,0.349051853645022
"ATY04","Information Treatment",0.3,0.2,0.126955112735007,0.273044887264993,0.295843944668668,0.0867368029929731,0.504951086344363,0.00292537936472116,0.338942690034847,0.12970078330655,0.548184596763144,0.000815680783783564,0.320788271430008,0.111566453441827,0.530010089418189,0.171334032358935,-0.0378988056839661,0.380566870401836,0.354132476896729,0.144895271701911,0.563369682091547,0.313882425519534,0.104621617390864,0.523143233648204
"AWL63","Behavioral Biases/Reflective Thinking",0.41,0.341,0.228731172625702,0.453268827374298,-0.102985195594951,-0.31251800925429,0.106547618064388,0.831978562355176,-0.0181978961536502,-0.227730709812989,0.191334917505689,0.5675345148931,-0.106083645684627,-0.315616459343968,0.103449167974714,-0.0847829310225143,-0.294315744681856,0.124749882636827,-0.100952548228969,-0.31048536188831,0.108580265430372,-0.0515915946927719,-0.261124408352113,0.157941218966569
"AZK26","Use of AI",0.25,0.305555555555556,0.180688910640488,0.430422200470624,0.0613915442066788,-0.147470708660851,0.270253797074209,0.282454829515296,0.33264052650152,0.123584851445941,0.541696201557099,0.00098324066253603,0.20237989814917,-0.00662160329845474,0.411381399596795,0.142119984605348,-0.0668684488827895,0.351108418093485,0.275496456077626,0.0663594758761724,0.48463343627908,0.270912967884535,0.0618089149695159,0.480017020799554
"AZT36","Information Treatment",0.2,0.32,0.176712813630186,0.463287186369814,0.28727450534871,0.0781437679901729,0.496405242707247,0.00371731395333067,0.109667409523833,-0.0995896748764442,0.31892449392411,0.152517670965225,0.000648642641885634,-0.208573271803013,0.209870557086784,0.0331563357245985,-0.17603986288949,0.242352534338687,-0.0896619837397429,-0.298866345574554,0.119542378095068,0.0243156356043594,-0.184883391352798,0.233514662561517
"BDA62","Behavioral Biases/Reflective Thinking",0.45,0.19,0.121789997475118,0.258210002524882,0.081531789056943,-0.126113084121486,0.289176662235372,0.221024749722613,0.124719860025891,-0.0827565662125448,0.332196286264327,0.119748706413427,0.0795766650220614,-0.127811870698201,0.286965200742324,0.00806490149306163,-0.199492713978715,0.215622516964838,NA,NA,NA,-0.0443594174339094,-0.251846635193715,0.163127800325896
"CYD84","Information Treatment",0.5,0.37,0.220873893782626,0.519126106217374,-0.0461310612920825,-0.254930825212082,0.162668702627917,0.667371834452376,-0.0395307757450454,-0.248111479589684,0.169049928099593,0.644742764513579,-0.00310900272464417,-0.211739576273228,0.20552157082394,-0.101944050984283,-0.310569079198653,0.106680977230087,-0.0262989210650483,-0.23500202779433,0.182404185664234,-0.0839632711078358,-0.292499268567362,0.124572726351691
"DQM56","Behavioral Biases/Reflective Thinking",0.2759,0.325555555555556,0.151159878012564,0.499951233098547,0.0680978531147724,-0.141434960544569,0.277630666774114,0.262271580007582,0.0839966462321098,-0.125536167427231,0.293529459891451,0.216282534557279,0.0040075166817395,-0.205525296977602,0.213540330341081,0.102142747931737,-0.107390065727604,0.311675561591078,0.108998087904838,-0.100534725754503,0.318530901564179,0.0598439290101827,-0.149688884649158,0.269376742669524
"EEO59","Behavioral Biases/Reflective Thinking",0.2,0.265,0.163733333333333,0.366266666666667,0.387327420547018,0.181264787337903,0.593390053756134,0.000132365288129224,0.226889850378447,0.0202494444634964,0.433530256293398,0.0160282194122397,0.239652713626697,0.0331349449055861,0.446170482347808,0.365101901937713,0.158391939775089,0.571811864100337,0.128595366902726,-0.0783608180923849,0.335551551897837,0.139231000178433,-0.0677603063866262,0.346222306743492
"EUZ78","Information Treatment",0.2,0.196666666666667,0.0881267815245372,0.305206551808796,0.405333498078793,0.19827450961232,0.612392486545266,7.3473907579295e-05,0.307090863625322,0.101034691882592,0.513147035368052,0.00185338950340797,0.322947694794435,0.116921175969528,0.528974213619342,0.250190906026776,0.0442242375914552,0.456157574462097,0.227905323655711,0.0216839081688102,0.434126739142612,0.173552442581176,-0.0330635531355944,0.380168438297946
